enrollment,actual_duration,AE_total_serious,mean_age_imp,phase_encoded,dropout_rate
1586.0,7.0,19.0,33.5,6,1.7654476670870116
60.0,16.0,0.0,33.0,4,3.333333333333333
126.0,5.0,4.0,33.89936608557845,4,0.7936507936507936
22.0,4.0,0.0,19.0,7,0.0
380.0,14.0,640.0,29.0,3,11.842105263157894
528.0,30.0,21.0,11.0,6,64.77272727272727
480.0,28.0,6.0,11.5,6,40.833333333333336
118.0,8.0,5.0,32.0,4,15.254237288135592
1050.0,48.0,494.0,29.5,4,65.52380952380953
251.0,7.0,24.0,17.5,4,8.764940239043826
1363.0,16.0,19.0,33.89936608557845,3,2.494497432134996
12.0,18.0,1.0,41.5,2,0.0
90.0,25.0,4.0,31.5,4,44.44444444444444
449.0,20.0,248.0,33.89936608557845,6,4.67706013363029
792.0,25.0,290.0,33.89936608557845,6,9.343434343434344
123.0,5.0,0.0,40.0,5,5.691056910569105
720.0,31.0,209.0,33.89936608557845,6,4.583333333333333
150.0,26.0,26.0,12.5,4,10.0
1245.0,39.0,43.0,12.0,6,6.907630522088354
600.0,23.0,28.0,12.5,4,9.333333333333334
1198.0,67.0,166.0,23.5,4,12.687813021702835
11.0,62.0,0.0,41.5,3,27.27272727272727
1843.0,15.0,3.0,33.89936608557845,6,0.0
2004.0,13.0,7.0,41.5,6,1.2974051896207583
1134.0,5.0,12.0,41.0,6,1.6754850088183422
613.0,2.0,8.0,33.5,4,0.3262642740619902
269.0,15.0,170.0,33.89936608557845,6,2.973977695167286
21.0,36.0,8.0,41.5,4,4.761904761904762
3819.0,60.0,75.0,34.5,6,15.187221785807804
101.0,7.0,0.0,33.89936608557845,4,19.8019801980198
600.0,6.0,42.0,33.89936608557845,6,7.5
34.0,12.0,0.0,31.5,2,23.52941176470588
1350.0,7.0,14.0,33.5,6,4.666666666666667
40.0,17.0,0.0,34.5,2,0.0
40.0,52.0,28.0,41.5,4,0.0
3539.0,5.0,35.0,33.0,6,2.740887256287087
219.0,7.0,1.0,11.5,6,19.17808219178082
22.0,33.0,19.0,41.5,3,0.0
1409.0,33.0,4740.0,33.89936608557845,6,4.9680624556423
43.0,4.0,0.0,34.5,4,0.0
520.0,12.0,7.0,10.0,6,1.3461538461538465
570.0,12.0,7.0,19.5,6,1.7543859649122806
171.0,62.0,101.0,41.5,4,0.0
30.0,41.0,10.0,41.5,2,63.33333333333333
6104.0,15.0,2134.0,33.89936608557845,6,5.242463958060288
200.0,39.0,224.0,33.89936608557845,7,19.5
580.0,26.0,212.0,33.89936608557845,4,21.20689655172414
1202.0,2.0,1.0,33.5,6,0.6655574043261231
44.0,59.0,122.0,41.5,3,18.181818181818183
63.0,0.0,0.0,33.89936608557845,4,0.0
466.0,13.0,0.0,33.89936608557845,6,0.0
475.0,12.0,8.0,33.89936608557845,7,18.31578947368421
789.0,15.0,49.0,41.5,4,2.915082382762991
63.0,81.0,0.0,69.0,4,0.0
300.0,6.0,1.0,33.5,7,0.0
84.0,15.0,23.0,28.5,4,2.380952380952381
720.0,1.0,4.0,33.89936608557845,4,0.1388888888888889
599.0,7.0,2.0,33.89936608557845,4,2.504173622704508
471.0,6.0,4.0,33.89936608557845,6,4.670912951167728
406.0,7.0,14.0,41.5,4,1.477832512315271
11.0,30.0,12.0,41.5,3,100.0
183.0,14.0,72.0,28.5,4,2.73224043715847
240.0,20.0,4.0,33.5,4,3.333333333333333
28.0,10.0,0.0,35.0,4,0.0
43.0,65.0,0.0,41.5,4,23.25581395348837
707.0,13.0,6.0,33.89936608557845,6,1.555869872701556
1300.0,15.0,25.0,17.0,6,2.0
103.0,24.0,32.0,41.5,4,33.980582524271846
601.0,10.0,464.0,33.89936608557845,4,6.988352745424292
250.0,4.0,0.0,41.5,7,2.0
84.0,9.0,2.0,33.89936608557845,4,7.142857142857142
18.0,71.0,20.0,41.5,4,0.0
378.0,43.0,1.0,41.5,4,7.936507936507936
3340.0,20.0,1140.0,33.89936608557845,6,9.461077844311378
440.0,2.0,1.0,41.5,6,0.0
170.0,59.0,0.0,69.0,3,43.52941176470589
120.0,5.0,0.0,41.5,7,0.0
310.0,7.0,10.0,13.5,4,0.0
115.0,9.0,0.0,7.0,6,0.0
81.0,39.0,1.0,31.5,4,8.641975308641975
351.0,27.0,8.0,33.0,4,8.262108262108262
1511.0,27.0,78.0,33.89936608557845,6,9.927200529450694
756.0,13.0,327.0,33.89936608557845,4,8.465608465608465
7466.0,79.0,13189.0,21.5,6,7.125636217519421
